0;0;0;0;land;false;unknown;0
1;147;142;235;land;false;plains;1
2;232;216;251;land;false;plains;1
3;194;211;165;land;false;plains;1
4;133;208;220;land;false;plains;1
5;71;245;213;land;false;plains;1
6;153;190;211;land;true;plains;1
7;174;244;128;land;false;plains;1
8;239;228;47;land;false;plains;1
9;104;180;229;land;true;plains;1
10;234;28;242;land;false;plains;1
11;203;189;254;land;false;plains;1
12;141;201;164;land;false;plains;1
13;244;28;237;land;false;plains;1
14;202;123;177;land;false;plains;1
15;173;243;101;land;false;plains;1
16;253;245;22;land;true;plains;1
17;232;97;253;land;false;plains;1
18;212;238;67;land;false;plains;1
19;222;150;207;land;false;plains;1
20;183;162;201;land;false;plains;1
21;213;136;229;land;true;plains;1
22;221;157;154;land;true;plains;1
23;126;221;246;land;false;plains;1
24;43;234;244;land;true;plains;1
25;27;252;244;land;true;plains;1
26;224;112;178;land;false;plains;1
27;170;167;204;land;true;plains;1
28;171;247;150;land;true;plains;1
29;233;161;221;land;false;plains;1
30;171;249;105;land;false;plains;1
31;241;199;184;land;false;plains;1
32;113;224;198;land;false;plains;1
33;146;248;245;land;false;plains;1
34;189;116;236;land;false;plains;1
35;231;167;230;land;true;plains;1
36;139;137;225;land;true;plains;1
37;249;117;232;land;false;plains;1
38;221;204;254;land;true;plains;1
39;79;210;231;land;false;plains;1
40;188;128;191;land;false;plains;1
41;191;180;254;land;true;plains;1
42;230;250;149;land;true;plains;1
43;88;249;222;land;false;plains;1
44;187;220;209;land;true;plains;1
45;203;203;242;land;true;plains;1
46;214;204;216;land;false;plains;1
47;121;176;229;land;false;plains;1
48;246;171;92;land;false;plains;1
49;230;240;142;land;false;plains;1
50;211;187;133;land;true;plains;1
51;191;63;248;land;true;plains;1
52;237;182;165;land;false;plains;1
53;201;200;184;land;false;plains;1
54;248;204;97;land;true;plains;1
55;252;239;127;land;true;plains;1
56;140;235;194;land;false;plains;1
57;191;173;239;land;false;plains;1
58;208;242;118;land;false;plains;1
59;121;189;249;land;true;plains;1
60;161;197;226;land;false;plains;1
61;245;192;182;land;false;plains;1
62;241;104;230;land;false;plains;1
